Railroad Code,Incident Number,Grade Crossing ID,Date,Time,State Name,Highway User,Temperature,Visibility,Weather Condition,Number of Locomotive Units,Number of Cars
BN,PO0053,760044W,1995-03-26,09:30 AM,OREGON,Auto,50,Day,Clear,5,96
BN,RI0041,665733G,1995-03-20,10:25 PM,MISSOURI,Auto,40,Dark,Clear,1,5
BN,SF0056,669937G,1995-03-02,04:55 PM,KANSAS,Truck,20,Day,Snow,2,32
BN,SF0062,667691E,1995-03-03,03:15 PM,MISSOURI,Auto,33,Day,Cloudy,2,28
BN,SF0070,667874X,1995-03-07,10:00 PM,MISSOURI,Truck-trailer,12,Dark,Cloudy,3,25
BN,SF0084,665971A,1995-03-11,04:20 PM,ARKANSAS,Auto,61,Day,Clear,2,22
BN,SF0091,674018W,1995-03-28,12:20 AM,MISSOURI,Auto,44,Dark,Clear,2,10
BN,SF0103,665968S,1995-03-31,10:33 AM,ARKANSAS,Truck,50,Day,Clear,3,31
BN,SF0109,668716B,1995-03-31,10:20 AM,KANSAS,Pedestrian,70,Day,Clear,3,80
BN,SP0027,058866A,1995-03-03,02:50 PM,IDAHO,Auto,33,Day,Cloudy,5,32
BN,SP0033,059092G,1995-03-17,02:40 AM,WASHINGTON,Pedestrian,29,Dark,Clear,5,99
BN,SP0037,058844A,1995-03-23,09:50 PM,IDAHO,Auto,37,Dark,Cloudy,3,52
BN,SU0065,076403A,1995-03-10,02:32 PM,MINNESOTA,Auto,39,Day,Clear,5,60
BN,TU0050,671781K,1995-03-02,04:05 PM,OKLAHOMA,Truck,23,Day,Snow,1,0
BN,TU0057,673752G,1995-03-07,03:15 PM,OKLAHOMA,Truck,30,Day,Clear,1,24
BN,WI0060,085951L,1995-03-27,02:15 PM,SOUTH DAKOTA,Auto,36,Day,Rain,1,3
BN,WI0063,382070T,1995-03-29,02:10 AM,IOWA,Auto,28,Dark,Rain,1,3
BN,YL0017,087334A,1995-03-01,11:30 AM,MONTANA,Other,20,Day,Clear,3,113
CAGY,95016,296369C,1995-03-07,10:30 AM,MISSISSIPPI,Auto,50,Day,Rain,1,1
CAGY,95017,301446N,1995-03-07,02:10 PM,MISSISSIPPI,Truck,45,Day,Rain,1,1
CC,GC9512,307070S,1995-03-02,07:20 AM,IOWA,Auto,9,Day,Clear,6,97
CC,GC9513,307639H,1995-03-03,11:10 PM,IOWA,Auto,24,Dark,Clear,3,27
CC,GC9514,307503V,1995-03-28,07:25 PM,IOWA,Truck,40,Dark,Cloudy,3,68
CGA,84696,719456D,1995-03-03,12:30 PM,GEORGIA,Auto,42,Day,Cloudy,1,0
CGA,84715,719315U,1995-03-05,05:50 PM,GEORGIA,Auto,50,Dusk,Rain,0,2
CGA,84763,723236P,1995-03-10,12:05 PM,GEORGIA,Auto,58,Day,Clear,1,2
CGA,84791,733518H,1995-03-14,07:15 AM,GEORGIA,Truck-trailer,56,Day,Clear,2,6
CGA,84905,733496K,1995-03-27,10:45 AM,GEORGIA,Auto,70,Day,Cloudy,3,68
CGA,85033,732763H,1995-03-23,09:30 PM,GEORGIA,Pedestrian,55,Dark,Cloudy,2,120
CIC,31995,376757X,1995-03-29,03:30 AM,IOWA,Auto,40,Dark,Clear,5,87
CIM,95X1,169910S,1995-03-29,09:50 AM,ILLINOIS,Truck-trailer,42,Day,Cloudy,1,12
CNW,950036,174010L,1995-03-10,04:47 PM,ILLINOIS,Auto,51,Day,Clear,1,5
CNW,950039,174924K,1995-03-21,07:09 AM,ILLINOIS,Auto,45,Day,Clear,1,7
